gbifID,kingdom,species,locality,occurrenceStatus,lat,long,xy_uncert_m,eventDate,collectionCode,issue
2597693673,Plantae,Struthiopteris spicant,,PRESENT,49.775737,-123.147159,21,2018-08-06T14:03:58Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
259193559,Animalia,Dryocopus pileatus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
259065498,Animalia,Empidonax difficilis,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
258992181,Animalia,Empidonax hammondii,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
258016870,Animalia,Vireo huttoni,Brackendale,PRESENT,49.777107,-123.15714,NA,2009-02-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
257989354,Animalia,Vireo huttoni,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
2579337555,Plantae,Hemitomes congestum,,PRESENT,49.791274,-123.127265,500,2017-07-16T15:01:45Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
257588044,Animalia,Sphyrapicus ruber,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
257558010,Animalia,Vireo gilvus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
257483250,Animalia,Vireo cassinii,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
2573821704,Plantae,Antennaria howellii,,PRESENT,49.776802000000004,-123.144529,85,2015-05-10T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
257367294,Animalia,Leiothlypis celata,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
256329157,Animalia,Sitta canadensis,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
255965159,Animalia,Setophaga nigrescens,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
255888023,Animalia,Pheucticus melanocephalus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
2517942488,Protozoa,Fuligo septica,,PRESENT,49.785497,-123.135867,67,2018-06-27T10:01:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2429228375,Plantae,Goodyera oblongifolia,,PRESENT,49.775591,-123.145268,28,2019-08-11T12:50:03Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2350358919,Plantae,Spiranthes romanzoffiana,,PRESENT,49.775594,-123.143374,8,2019-08-10T15:20:31Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2331839481,Plantae,Mahonia nervosa,,PRESENT,49.793677,-123.130521,2027,2019-07-13T13:47:44Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
230371429,Animalia,Piranga ludoviciana,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2009-05-23T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
2294478235,Plantae,Monotropa uniflora,,PRESENT,49.785273,-123.13581,10,2019-07-13T13:49:46Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2286112075,Plantae,Polypodium glycyrrhiza,1st cliffs on Squamish R. [River] Rd. from Cheekye Br. [Bridge],PRESENT,49.798172,-123.157939,301,1963-09-19T00:00:00Z,Vascular Plants,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2286111673,Plantae,Polypodium glycyrrhiza,First cliffs on Squamish River Rd. from Cheekye Bridge,PRESENT,49.798172,-123.157939,301,1963-09-19T00:00:00Z,Vascular Plants,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2283188431,Plantae,Corallorhiza mertensiana,,PRESENT,49.782343,-123.142218,10,2019-07-06T08:41:23Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2283168676,Plantae,Spiraea douglasii,,PRESENT,49.783207,-123.148317,5,2019-07-05T08:44:09Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2269272937,Plantae,Linnaea borealis,,PRESENT,49.780278,-123.153628,NA,2019-06-13T14:21:59Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2265884041,Plantae,Hypopitys monotropa,,PRESENT,49.782483,-123.143044,343,2019-05-31T17:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
2265882821,Plantae,Hypopitys monotropa,,PRESENT,49.782619,-123.142411,342,2019-05-31T17:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
2265881925,Plantae,Clintonia uniflora,,PRESENT,49.782959,-123.143802,171,2019-05-31T17:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
2265845986,Plantae,Corallorhiza mertensiana,,PRESENT,49.783155,-123.142874,171,2019-05-31T17:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
2265845504,Plantae,Corallorhiza mertensiana,,PRESENT,49.782885,-123.14212,343,2019-05-31T17:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
2251892645,Plantae,Clintonia uniflora,,PRESENT,49.783785,-123.146197,5,2019-05-25T18:23:14Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2251872277,Plantae,Gaultheria shallon,,PRESENT,49.779111,-123.146245,42,2019-05-11T15:28:05Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
2178393139,Animalia,Corvus corax,Squamish - Landfill,PRESENT,49.78705,-123.146996,NA,2018-06-13T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
2135636511,Animalia,Melospiza melodia,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2135623284,Animalia,Junco hyemalis,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2127374142,Animalia,Troglodytes pacificus,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2127364460,Animalia,Corvus corax,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2127360851,Animalia,Sturnus vulgaris,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2127351306,Animalia,Poecile rufescens,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2124818811,Animalia,Regulus satrapa,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2124813904,Animalia,Haliaeetus leucocephalus,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2111154277,Animalia,Corvus brachyrhynchos,"CA-BC-Squamish (49.7912,-123.1489)",PRESENT,49.79123,-123.14895,NA,2018-02-05T00:00:00Z,EBIRD_CAN,CONTINENT_DERIVED_FROM_COORDINATES
2005550829,Plantae,Leptodictyum riparium,Pools ca. 12 mi. S. of Garibaldi Station,PRESENT,49.793043,-123.15,17102,1977-10-09T00:00:00Z,,CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
